127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/ractive.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/images/twitter.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-30 15:13:36, GET, /hw5/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:13:36, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.148000
127.0.0.1, 2015-11-30 15:13:46, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.213000
127.0.0.1, 2015-11-30 15:13:56, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.125000
127.0.0.1, 2015-11-30 15:14:06, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.124000
127.0.0.1, 2015-11-30 15:14:10, GET, /hw5/default/show_posts/186, HTTP/1.1, 200, 0.195000
127.0.0.1, 2015-11-30 15:14:11, POST, /hw5/default/load_posts/186, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-11-30 15:14:15, GET, /hw5/default/show_boards, HTTP/1.1, 200, 0.113000
127.0.0.1, 2015-11-30 15:14:15, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.113000
127.0.0.1, 2015-11-30 15:14:25, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.100000
127.0.0.1, 2015-11-30 15:14:35, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.110000
127.0.0.1, 2015-11-30 15:14:45, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.107000
127.0.0.1, 2015-11-30 15:14:55, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.102000
127.0.0.1, 2015-11-30 15:15:05, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.111000
127.0.0.1, 2015-11-30 15:15:11, GET, /hw5/default/show_posts/186, HTTP/1.1, 200, 0.123000
127.0.0.1, 2015-11-30 15:15:12, POST, /hw5/default/load_posts/186, HTTP/1.1, 200, 0.094000
127.0.0.1, 2015-11-30 15:15:22, POST, /hw5/default/load_posts/186, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-11-30 15:15:29, GET, /hw5/default/user/login, HTTP/1.1, 200, 0.109000
127.0.0.1, 2015-11-30 15:15:38, POST, /hw5/default/user/login, HTTP/1.1, 303, 0.211000
127.0.0.1, 2015-11-30 15:15:38, GET, /hw5/default/index, HTTP/1.1, 303, 0.095000
127.0.0.1, 2015-11-30 15:15:38, GET, /hw5/default/show_boards, HTTP/1.1, 200, 0.113000
127.0.0.1, 2015-11-30 15:15:39, POST, /hw5/default/load_messages, HTTP/1.1, 200, 0.146000
127.0.0.1, 2015-11-30 15:15:45, GET, /hw5/default/show_posts/185, HTTP/1.1, 200, 0.106000
127.0.0.1, 2015-11-30 15:15:46, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.094000
127.0.0.1, 2015-11-30 15:15:47, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.184000
127.0.0.1, 2015-11-30 15:15:47, POST, /hw5/default/add_post, HTTP/1.1, 200, 0.227000
127.0.0.1, 2015-11-30 15:15:56, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.130000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/default/show_posts/185, HTTP/1.1, 200, 0.209000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/css/myapp.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/ractive.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:56, GET, /hw5/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:57, GET, /hw5/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:57, GET, /hw5/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-30 15:15:57, GET, /hw5/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:15:57, GET, /hw5/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-30 15:15:57, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.104000
127.0.0.1, 2015-11-30 15:16:02, POST, /hw5/default/add_post, HTTP/1.1, 200, 0.240000
127.0.0.1, 2015-11-30 15:16:05, POST, /hw5/default/add_post, HTTP/1.1, 200, 0.241000
127.0.0.1, 2015-11-30 15:16:07, POST, /hw5/default/add_post, HTTP/1.1, 200, 0.263000
127.0.0.1, 2015-11-30 15:17:10, POST, /hw5/default/add_post, HTTP/1.1, 200, 0.255000
127.0.0.1, 2015-11-30 15:17:17, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-11-30 15:17:27, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.099000
127.0.0.1, 2015-11-30 15:17:37, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.119000
127.0.0.1, 2015-11-30 15:17:41, GET, /admin/default/site, HTTP/1.1, 200, 0.095000
127.0.0.1, 2015-11-30 15:17:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-11-30 15:17:43, GET, /HiddenSC/default/index, HTTP/1.1, 303, 0.088000
127.0.0.1, 2015-11-30 15:17:43, GET, /HiddenSC/default/show_boards, HTTP/1.1, 200, 0.108000
127.0.0.1, 2015-11-30 15:17:43, GET, /dist/css/bootstrap.min.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-11-30 15:17:43, GET, /assets/js/ie-emulation-modes-warning.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-11-30 15:17:43, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.002000
127.0.0.1, 2015-11-30 15:17:43, GET, /assets/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-11-30 15:17:43, GET, /HiddenSC/default/dashboard.css, HTTP/1.1, 404, 0.096000
127.0.0.1, 2015-11-30 15:17:44, GET, /HiddenSC/default/background.jpg, HTTP/1.1, 404, 0.080000
127.0.0.1, 2015-11-30 15:17:47, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.107000
127.0.0.1, 2015-11-30 15:17:57, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.098000
127.0.0.1, 2015-11-30 15:18:07, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.118000
127.0.0.1, 2015-11-30 15:18:17, POST, /hw5/default/load_posts/185, HTTP/1.1, 200, 0.142000
127.0.0.1, 2015-11-30 15:18:24, GET, /HiddenSC/default/show_boards, HTTP/1.1, 200, 0.087000
127.0.0.1, 2015-11-30 15:18:24, GET, /HiddenSC/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:18:24, GET, /HiddenSC/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-30 15:18:24, GET, /HiddenSC/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
